Entry	Gene names	Annotation	Mass
O95931	CBX7	5 out of 5	28,341
A6NI87	CBY3	1 out of 5	27,343
Q9HBI5	C3orf14 HT021	1 out of 5	15,007
Q8ND61	C3orf20	3 out of 5	101,266
Q6P1S2	C3orf33 MSTP052	4 out of 5	33,765
Q96BT1	C3orf49	1 out of 5	33,461
A1A4F0	PQLC2L C3orf55	2 out of 5	15,626
H3BNL1	C3orf84	1 out of 5	23,376
A0A1B0GTC6	C3orf85	1 out of 5	10,386
P0DN24	C3orf86	1 out of 5	10,933
Q8IYK2	CCDC105	2 out of 5	56,909
Q9BWC9	CCDC106	4 out of 5	32,032
Q8WV48	CCDC107 PSEC0222	3 out of 5	30,509
Q8TBZ0	CCDC110 KMHN1	3 out of 5	96,726
Q8NEF3	CCDC112 MBC1	3 out of 5	53,565
Q96M63	CCDC114	5 out of 5	75,046
Q8IWD4	CCDC117	3 out of 5	30,541
Q96HB5	CCDC120 JM11	5 out of 5	67,567
Q86Z20	CCDC125 KENAE	4 out of 5	58,629
Q9H6E4	CCDC134	5 out of 5	26,561
Q8IYE0	CCDC146 KIAA1505	5 out of 5	112,806
Q8NFR7	CCDC148	3 out of 5	71,076
Q8NCX0	CCDC150	2 out of 5	128,761
Q4G0S7	CCDC152 Chr5_400	2 out of 5	29,979
A6NI56	CCDC154 C16orf29	2 out of 5	76,013
A0A0D9SF12	CCDC163 C1orf231 CCDC163P	2 out of 5	16,203
Q8NDH2	CCDC168 C13orf40	3 out of 5	277,951
P0C7W6	CCDC172 C10orf96	4 out of 5	31,035
Q0VFZ6	CCDC173 C2orf77	2 out of 5	66,403
Q9UFE4	CCDC39	5 out of 5	109,901
Q96ER9	CCDC51	2 out of 5	45,811
Q2TAC2	CCDC57	5 out of 5	103,167
Q9Y6R9	CCDC61	2 out of 5	57,368
Q6P9F0	CCDC62	5 out of 5	77,748
Q8NA47	CCDC63	2 out of 5	66,250
A2RUB6	CCDC66	5 out of 5	109,411
Q9H2F9	CCDC68	4 out of 5	38,869
Q6NSX1	CCDC70	3 out of 5	28,767
Q6ZRK6	CCDC73	2 out of 5	124,154
Q6ZN84	CCDC81	3 out of 5	76,084
Q8N4S0	CCDC82 HT025	2 out of 5	64,002
Q8IWF9	CCDC83 HSD9	2 out of 5	48,851
Q9NVE4	CCDC87	3 out of 5	96,402
Q9Y3X0	CCDC9	2 out of 5	59,703
Q8TC90	CCER1 C12orf12	2 out of 5	46,482
I3L3R5	CCER2	3 out of 5	30,352
Q06432	CACNG1 CACNLG	4 out of 5	25,028
P53701	HCCS CCHL	5 out of 5	30,602
P32238	CCKAR CCKRA	5 out of 5	47,841
Q99616	CCL13 MCP4 NCC1 SCYA13	5 out of 5	10,986
Q16627	CCL14 NCC2 SCYA14	5 out of 5	10,678
O00175	CCL24 MPIF2 SCYA24	5 out of 5	13,134
Q9NRJ3	CCL28 SCYA28	5 out of 5	14,280
P13500	CCL2 MCP1 SCYA2	5 out of 5	11,025
Q9NUG4	CCM2L C20orf160	3 out of 5	62,179
P20648	ATP4A	5 out of 5	114,119
Q00532	CDKL1	5 out of 5	41,803
P55273	CDKN2D	5 out of 5	17,700
O95674	CDS2	5 out of 5	51,418
Q8TCT0	CERK KIAA1646	5 out of 5	59,977
P11597	CETP	5 out of 5	54,756
O95873	C6orf47 G4	2 out of 5	31,710
Q9GZU0	C6orf62 XTP12 Nbla00237	2 out of 5	27,083
Q8IYR0	CFAP206 C6orf165	5 out of 5	71,193
O14965	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6	5 out of 5	45,809
Q99700	ATXN2 ATX2 SCA2 TNRC13	5 out of 5	140,283
Q9Y679	AUP1	5 out of 5	45,787
Q96GD4	AURKB AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5	5 out of 5	39,311
Q8WXX7	AUTS2 KIAA0442	5 out of 5	138,982
Q8NBF6	AVL9 KIAA0241	4 out of 5	71,947
Q3ZCQ2	ANXA2R AX2R C5orf39	3 out of 5	21,682
Q5T1B0	AXDND1 C1orf125	3 out of 5	118,027
O14757	CHEK1 CHK1	5 out of 5	54,434
O15169	AXIN1 AXIN	5 out of 5	95,635
P06276	BCHE CHE1	5 out of 5	68,418
Q07817	BCL2L1 BCL2L BCLX	5 out of 5	26,049
Q9HB09	BCL2L12 BPR	4 out of 5	36,821
Q9Y2C3	B3GALT5	4 out of 5	36,189
Q9NZZ3	CHMP5 C9orf83 SNF7DC2 CGI-34 HSPC177 PNAS-114 PNAS-2	5 out of 5	24,571
Q96FZ7	CHMP6 VPS20	5 out of 5	23,485
Q8WUX9	CHMP7	5 out of 5	50,911
Q6ZMB0	B3GNT6	5 out of 5	42,748
Q8NFL0	B3GNT7	4 out of 5	45,987
Q7Z7M8	B3GNT8 B3GALT7 BGALT15	5 out of 5	43,396
Q6UX72	B3GNT9 UNQ1922/PRO4397	3 out of 5	43,751
Q67FW5	B3GNTL1 B3GNT8	2 out of 5	40,713
Q8NHY0	B4GALNT2 GALGT2	5 out of 5	63,258
Q6L9W6	B4GALNT3	4 out of 5	114,975
Q76KP1	B4GALNT4	4 out of 5	116,513
O60909	B4GALT2	5 out of 5	41,972
O60512	B4GALT3	5 out of 5	43,928
Q9UBX8	B4GALT6	5 out of 5	44,914
Q14032	BAAT	5 out of 5	46,299
Q99653	CHP1 CHP	5 out of 5	22,456
Q9UPM9	B9D1 MKSR1	5 out of 5	22,775
Q8WZ19	KCTD13 BACURD1 PDIP1 POLDIP1 FKSG86 PP6832	5 out of 5	36,357
Q8NB49	ATP11C ATPIG ATPIQ	5 out of 5	129,477
P48201	ATP5MC3 ATP5G3	5 out of 5	14,693
Q96GV9	C5orf30	4 out of 5	23,083
P13688	CEACAM1 BGP BGP1	5 out of 5	57,560
P49715	CEBPA CEBP	5 out of 5	37,561
P09093	CELA3A ELA3 ELA3A	4 out of 5	29,489
Q92879	CELF1 BRUNOL2 CUGBP CUGBP1 NAB50	5 out of 5	52,063
Q8N6W0	CELF5 BRUNOL5	4 out of 5	52,355
B2RD01	CENPBD1	2 out of 5	21,052
P49450	CENPA	5 out of 5	15,991
Q9BYV8	CEP41 TSGA14	5 out of 5	41,368
Q86XR8	CEP57 KIAA0092 TSP57	5 out of 5	57,089
P0C671	C6orf222	1 out of 5	71,930
Q8N319	C6orf223	2 out of 5	26,113
Q5I0X4	C6orf226	2 out of 5	10,566
Q9Y6A4	CFAP20 BUG22 C16orf80 GTL3	5 out of 5	22,774
Q96G28	CFAP36 CCDC104 UNQ163/PRO189	5 out of 5	39,447
Q96MT7	CFAP44 WDR52	5 out of 5	213,865
Q9UEE9	CFDP1 BCNT CENP-29	4 out of 5	33,593
P48047	ATP5PO ATP5O ATPO	5 out of 5	23,277
Q96N11	C7orf26	2 out of 5	50,047
Q8N884	CGAS C6orf150 MB21D1	5 out of 5	58,814
Q9UP79	ADAMTS8 METH2	5 out of 5	96,460
Q8WXS8	ADAMTS14	5 out of 5	133,888
Q8TE58	ADAMTS15	4 out of 5	103,287
Q8TE57	ADAMTS16 KIAA2029	5 out of 5	136,203
Q8TE56	ADAMTS17	5 out of 5	121,127
A6NKQ9	CGB1	3 out of 5	20,468
P59510	ADAMTS20	5 out of 5	214,721
O15072	ADAMTS3 KIAA0366	5 out of 5	135,603
P17735	TAT	5 out of 5	50,399
P0C7T5	ATXN1L BOAT BOAT1	5 out of 5	73,306
P54253	ATXN1 ATX1 SCA1	5 out of 5	86,923
Q8WWM7	ATXN2L A2D A2LG A2LP A2RP	5 out of 5	113,374
Q9H3M9	ATXN3L ATX3L MJDL	4 out of 5	40,747
Q156A1	ATXN8	3 out of 5	10,272
O75061	DNAJC6 KIAA0473	5 out of 5	99,997
P27037	ACVR2A ACVR2	5 out of 5	57,848
Q9NQS1	AVEN	4 out of 5	38,506
Q4VNC0	ATP13A5 UNQ488/PRO1004	4 out of 5	137,327
P54259	ATN1 D12S755E DRPLA	5 out of 5	125,414
O75947	ATP5PD ATP5H My032	5 out of 5	18,491
O00244	ATOX1 HAH1	5 out of 5	7,402
Q9Y6F7	CDY2A CDY2; CDY2B	3 out of 5	60,524
Q8N8U2	CDYL2	2 out of 5	56,500
Q49AR2	C5orf22	2 out of 5	49,967
Q8IYX8	CEP57L1 C6orf182 CEP57R	5 out of 5	53,649
Q5SZL2	CEP85L C6orf204	5 out of 5	91,808
Q8N7Q2	CELF2-AS1 C10orf31	2 out of 5	20,470
A8MTT3	CEBPZOS CEBPZ-AS1	2 out of 5	9,336
P53567	CEBPG	5 out of 5	16,408
Q711Q0	CEFIP C10orf71	4 out of 5	156,477
Q16739	UGCG	5 out of 5	44,854
P08861	CELA3B ELA3B	5 out of 5	29,263
Q5SZQ8	CELF3 BRUNOL1 CAGH4 ERDA4 TNRC4	5 out of 5	50,548
Q96LK0	CEP19 C3orf34 HSD5	5 out of 5	19,166
Q9Y592	CEP83 CCDC41	5 out of 5	82,940
Q8IW35	CEP97 LRRIQ2	5 out of 5	96,981
A8K010	LINC00473 C6orf176	2 out of 5	21,118
Q5T699	C6orf183	1 out of 5	46,784
Q96MT4	LINC01600 C6orf195	2 out of 5	13,896
Q8TBY9	WDR66 CFAP251	3 out of 5	129,952
P57076	CFAP298 C21orf48 C21orf59	5 out of 5	33,224
Q9BRQ4	CFAP300 C11orf70	4 out of 5	30,859
B2RV13	CFAP97D1 C17orf105	2 out of 5	19,546
Q8N1V2	CFAP52 WDR16 WDRPUH	4 out of 5	68,298
Q96M91	CFAP53 CCDC11	5 out of 5	61,835
Q6ZU64	CFAP65 CCDC108	4 out of 5	217,250
Q5T0N1	CFAP70 TTC18	3 out of 5	125,721
D6REC4	CFAP99	2 out of 5	52,293
P00751	CFB BF BFD	5 out of 5	85,533
P13569	CFTR ABCC7	5 out of 5	168,142
Q8NI28	LINC01006 C7orf13 MY040	2 out of 5	22,304
Q9BPX7	C7orf25	2 out of 5	46,451
Q8WU49	C7orf33	1 out of 5	19,475
Q8WVR3	C7orf43	3 out of 5	62,597
Q9BRJ6	C7orf50 FP15621	2 out of 5	22,083
Q8NEG2	C7orf57	2 out of 5	32,846
Q8IZ16	C7orf61	1 out of 5	23,862
A4D0Y5	C7orf77	1 out of 5	10,046
Q6RW13	AGTRAP ATRAP	5 out of 5	17,419
Q13535	ATR FRP1	5 out of 5	301,367
P46100	ATRX RAD54L XH2	5 out of 5	282,586
P58397	ADAMTS12 UNQ1918/PRO4389	5 out of 5	177,676
Q76LX8	ADAMTS13 C9orf8 UNQ6102/PRO20085	5 out of 5	153,604
Q8TDX6	CSGALNACT1 CHGN GALNACT1 UNQ656/PRO1287	5 out of 5	61,294
Q8N6G5	CSGALNACT2 CHGN2 GALNACT2 PRO0082	5 out of 5	62,572
Q6NT52	CGB2	3 out of 5	17,374
P0DN86	CGB3 CGB; CGB5; CGB8	5 out of 5	17,739
P0DN87	CGB7	4 out of 5	17,757
O75173	ADAMTS4 KIAA0688 UNQ769/PRO1563	5 out of 5	90,197
Q86TL0	ATG4D APG4D AUTL4	5 out of 5	52,922
P05496	ATP5MC1 ATP5G1	5 out of 5	14,277
Q5T2N8	ATAD3C	2 out of 5	46,380
Q00526	CDK3 CDKN3	5 out of 5	35,046
P51164	ATP4B	5 out of 5	33,367
Q9BSB4	ATG101 C12orf44 PP894	5 out of 5	25,003
P56385	ATP5ME ATP5I ATP5K	5 out of 5	7,933
Q6NVV7	CDPF1 C22orf40	2 out of 5	13,877
O95319	CELF2 BRUNOL3 CUGBP2 ETR3 NAPOR	5 out of 5	54,285
Q96J87	CELF6 BRUNOL6	5 out of 5	50,477
Q9NYQ6	CELSR1 CDHF9 FMI2	5 out of 5	329,486
Q6PRD7	CEMP1	5 out of 5	25,959
A0A0U1RR11	CENPVL1 CENPVP1	2 out of 5	29,887
Q6P2H3	CEP85 CCDC21	5 out of 5	85,639
Q9HD87	C6orf50 NAG19	2 out of 5	12,368
Q5JQF7	LINC01556 C6orf100	1 out of 5	7,289
Q7Z4R8	C6orf120	3 out of 5	20,772
Q5T6M2	LINC00242 C6orf122 NCRNA00242	2 out of 5	23,040
Q9Y6Z2	LINC01558 C6orf123	1 out of 5	6,189
Q5T655	CFAP58 C10orf80 CCDC147	2 out of 5	103,417
A6NFT4	CFAP73 CCDC42B	2 out of 5	35,914
Q9C0B2	CFAP74 C1orf222 KIAA1751	3 out of 5	178,589
P56134	ATP5MF ATP5J2 ATP5JL	5 out of 5	10,918
P0CG36	CFC1B	3 out of 5	24,642
O75143	ATG13 KIAA0652	5 out of 5	56,572
Q96BY7	ATG2B C14orf103	4 out of 5	232,763
P11802	CDK4	5 out of 5	33,730
P13637	ATP1A3	5 out of 5	111,749
O43313	ATMIN KIAA0431 ZNF822	5 out of 5	88,348
P56381	ATP5F1E ATP5E	5 out of 5	5,780
P03928	MT-ATP8 ATP8 ATPASE8 MTATP8	5 out of 5	7,992
Q9C0D2	CEP295 KIAA1731	5 out of 5	295,176
Q9UHN6	CEMIP2 KIAA1412 TMEM2	5 out of 5	154,374
Q8N111	CEND1 BM88	4 out of 5	14,954
Q6UXA7	C6orf15 STG UNQ1840/PRO3566	3 out of 5	34,195
Q5SZD1	C6orf141	2 out of 5	26,754
Q9H8W2	LINC00472 C6orf155	1 out of 5	13,851
Q5TEZ4	LINC01590 C6orf164	1 out of 5	8,388
Q9NUT2	ABCB8 MABC1	5 out of 5	79,989
P28330	ACADL	5 out of 5	47,656
P42684	ABL2 ABLL ARG	5 out of 5	128,343
O14734	ACOT8 ACTEIII PTE1 PTE2	5 out of 5	35,914
P29274	ADORA2A ADORA2	5 out of 5	44,707
Q8TDN7	ACER1 ASAH3	5 out of 5	31,095
P20309	CHRM3	5 out of 5	66,128
Q562R1	ACTBL2	3 out of 5	42,003
P31941	APOBEC3A	5 out of 5	23,012
P22303	ACHE	5 out of 5	67,796
P30484	HLA-B HLAB	5 out of 5	40,440
Q9NR19	ACSS2 ACAS2	5 out of 5	78,580
Q9NRK6	ABCB10	5 out of 5	79,148
P36544	CHRNA7 NACHRA7	5 out of 5	56,449
Q9NUZ1	ACOXL	4 out of 5	61,795
Q9NP78	ABCB9 KIAA1520	5 out of 5	84,475
P32297	CHRNA3 NACHRA3	5 out of 5	57,480
Q99798	ACO2	5 out of 5	85,425
P43681	CHRNA4 NACRA4	5 out of 5	69,957
O75027	ABCB7 ABC7	5 out of 5	82,641
P33121	ACSL1 FACL1 FACL2 LACS LACS1 LACS2	5 out of 5	77,943
Q8N9L9	ACOT4 PTE2B PTEIB	5 out of 5	46,327
Q8IUX4	APOBEC3F	5 out of 5	45,020
Q9Y6U3	SCIN KIAA1905	5 out of 5	80,489
Q6IQ32	ADNP2 KIAA0863 ZNF508	4 out of 5	122,833
P49753	ACOT2 PTE2 PTE2A	5 out of 5	53,218
Q8N7X0	ADGB C6orf103 CAPN7L	3 out of 5	189,713
P78536	ADAM17 CSVP TACE	5 out of 5	93,021
P11229	CHRM1	5 out of 5	51,421
Q6ZNF0	ACP7 PAPL PAPL1	3 out of 5	50,480
Q9BXI3	NT5C1A	5 out of 5	41,021
O75078	ADAM11 MDC	5 out of 5	83,418
Q8NE71	ABCF1 ABC50	5 out of 5	95,926
Q0VDE8	ADIG	3 out of 5	9,465
Q9UKV8	AGO2 EIF2C2	5 out of 5	97,208
Q15848	ADIPOQ ACDC ACRP30 APM1 GBP28	5 out of 5	26,414
P63267	ACTG2 ACTA3 ACTL3 ACTSG	5 out of 5	41,877
Q9ULC5	ACSL5 ACS5 FACL5 UNQ633/PRO1250	5 out of 5	75,991
Q8NFM4	ADCY4	5 out of 5	119,794
O60266	ADCY3 KIAA0511	5 out of 5	128,960
P51816	AFF2 FMR2 OX19	5 out of 5	144,771
P00326	ADH1C ADH3	5 out of 5	39,868
P11766	ADH5 ADHX FDH	5 out of 5	39,724
P78363	ABCA4 ABCR	5 out of 5	255,944
P35612	ADD2 ADDB	5 out of 5	80,854
O15254	ACOX3 BRCOX PRCOX	5 out of 5	77,629
Q9NUQ8	ABCF3	4 out of 5	79,745
O94805	ACTL6B ACTL6 BAF53B	4 out of 5	46,877
Q13443	ADAM9 KIAA0021 MCMP MDC9 MLTNG	5 out of 5	90,556
Q99424	ACOX2	5 out of 5	76,827
P68133	ACTA1 ACTA	5 out of 5	42,051
Q5FVE4	ACSBG2 BGR UNQ2443/PRO5005	5 out of 5	74,354
P16219	ACADS	5 out of 5	44,297
P00325	ADH1B ADH2	5 out of 5	39,855
Q8WXI4	ACOT11 BFIT KIAA0707 THEA	5 out of 5	68,492
P36896	ACVR1B ACVRLK4 ALK4	5 out of 5	56,807
Q08043	ACTN3	5 out of 5	103,241
Q8NER5	ACVR1C ALK7	5 out of 5	54,871
Q9H2U9	ADAM7 GP83	5 out of 5	85,669
P51826	AFF3 LAF4	5 out of 5	133,503
O95394	PGM3 AGM1	5 out of 5	59,852
Q9BYX7	POTEKP ACTBL3 FKSG30	4 out of 5	42,016
Q8N2K0	ABHD12 C20orf22	5 out of 5	45,097
P18089	ADRA2B ADRA2L1 ADRA2RL1	5 out of 5	49,954
Q5T601	ADGRF1 GPR110 PGR19	5 out of 5	101,365
O96019	ACTL6A BAF53 BAF53A INO80K	5 out of 5	47,461
P14621	ACYP2 ACYP	4 out of 5	11,140
Q8TDY3	ACTRT2 ARPM2	2 out of 5	41,702
Q07912	TNK2 ACK1	5 out of 5	114,569
P10109	FDX1 ADX	5 out of 5	19,393
P12235	SLC25A4 ANT1	5 out of 5	33,064
P37023	ACVRL1 ACVRLK1 ALK1	5 out of 5	56,124
P07311	ACYP1 ACYPE	5 out of 5	11,261
Q01718	MC2R ACTHR	5 out of 5	33,927
P35318	ADM AM	5 out of 5	20,420
Q8TC94	ACTL9 ACTL7C HSD21	2 out of 5	45,627
Q9NPF8	ADAP2 CENTA2	5 out of 5	44,349
P49748	ACADVL VLCAD	5 out of 5	70,390
P28332	ADH6	5 out of 5	39,073
Q9NZK5	ADA2 ADGF CECR1 IDGFL	5 out of 5	58,934
P55197	MLLT10 AF10	5 out of 5	113,320
P02708	CHRNA1 ACHRA CHNRA	5 out of 5	54,546
Q8TDG2	ACTRT1 ARPT1 HSD27	4 out of 5	41,696
Q6ZN18	AEBP2	5 out of 5	54,467
Q9H6R3	ACSS3	4 out of 5	74,778
Q3I5F7	ACOT6 C14orf42	3 out of 5	22,991
Q99965	ADAM2 FTNB	5 out of 5	82,457
O43707	ACTN4	5 out of 5	104,854
Q7Z695	ADCK2 AARF	4 out of 5	68,982
Q68CK6	ACSM2B ACSM2 HYST1046	5 out of 5	64,271
Q8TED9	AFAP1L1	5 out of 5	86,432
P63261	ACTG1 ACTG	5 out of 5	41,793
P60709	ACTB	5 out of 5	41,737
P54922	ADPRH ARH1	5 out of 5	39,507
Q8NEB7	ACRBP	3 out of 5	61,359
Q8IZF5	ADGRF3 GPR113 PGR23 UNQ9196/PRO34000	4 out of 5	116,341
P78325	ADAM8 MS2	5 out of 5	88,771
P51825	AFF1 AF4 FEL MLLT2 PBM1	5 out of 5	131,422
Q9H2P0	ADNP ADNP1 KIAA0784	5 out of 5	123,563
Q9UKF2	ADAM30 UNQ2509/PRO5997	5 out of 5	88,940
Q5I7T1	ALG10B KCR1	5 out of 5	55,448
Q9Y3Q7	ADAM18 TMDC3 UNQ858/PRO1867	5 out of 5	82,856
P55196	AFDN AF6 MLLT4	5 out of 5	206,804
Q5T7M4	C1QTNF12 C1QDC2 CTRP12 FAM132A	5 out of 5	32,416
P62736	ACTA2 ACTSA ACTVS GIG46	5 out of 5	42,009
P05141	SLC25A5 ANT2	5 out of 5	32,852
Q53FZ2	ACSM3 SAH	5 out of 5	66,153
P0C7M7	ACSM4	3 out of 5	65,703
Q8WV93	AFG1L AFG1 LACE1	5 out of 5	54,845
P40145	ADCY8	5 out of 5	140,122
Q96P64	AGAP4 AGAP8 CTGLF1 CTGLF5 MRIP2	3 out of 5	73,070
Q99996	AKAP9 AKAP350 AKAP450 KIAA0803	5 out of 5	452,987
O95622	ADCY5	5 out of 5	138,908
A8MUL3	ADARB2-AS1 C10orf109 NCRNA00168	2 out of 5	15,836
O75077	ADAM23 MDC3	5 out of 5	91,926
O75689	ADAP1 CENTA1	5 out of 5	43,395
Q8IZF2	ADGRF5 GPR116 KIAA0758	5 out of 5	149,457
Q9Y2D8	SSX2IP KIAA0923	5 out of 5	71,236
Q5BKT4	ALG10 ALG10A	4 out of 5	55,606
Q5VTM2	AGAP9 CTGLF6	3 out of 5	77,972
Q5T2L2	AKR1C8P AKR1CL1	3 out of 5	14,588
Q9BYD9	ACTRT3 ARPM1	2 out of 5	41,008
Q8IUX7	AEBP1 ACLP	5 out of 5	130,929
Q8TC27	ADAM32 UNQ5982/PRO21340	4 out of 5	87,948
Q9BRR6	ADPGK PSEC0260	5 out of 5	54,089
Q9HCK5	AGO4 EIF2C4 KIAA1567	5 out of 5	97,097
Q9Y4W6	AFG3L2	5 out of 5	88,584
Q86UQ4	ABCA13	5 out of 5	576,159
Q9UGJ0	PRKAG2	5 out of 5	63,066
Q9UDR5	AASS	5 out of 5	102,132
P30466	HLA-B HLAB	5 out of 5	40,275
P30939	HTR1F HTR1EL	5 out of 5	41,709
Q15018	ABRAXAS2 ABRO1 FAM175B KIAA0157	5 out of 5	46,901
P30485	HLA-B HLAB	5 out of 5	40,571
Q9H845	ACAD9	5 out of 5	68,760
P12814	ACTN1	5 out of 5	103,058
P07510	CHRNG ACHRG	5 out of 5	57,883
Q9NY61	AATF CHE1 DED HSPC277	5 out of 5	63,133
P33897	ABCD1 ALD	5 out of 5	82,937
P30685	HLA-B HLAB	5 out of 5	40,455
Q04826	HLA-B HLAB	5 out of 5	40,505
Q95365	HLA-B HLAB	5 out of 5	40,416
P25106	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	5 out of 5	41,493
Q8WXA8	HTR3C	5 out of 5	50,220
Q29974	HLA-DRB1	5 out of 5	30,030
Q9BUJ0	ABHD14A UNQ1913/PRO4373	3 out of 5	29,765
Q5JWF8	ACTL10 C20orf134	1 out of 5	26,751
P01911	HLA-DRB1 HLA-DRB2	5 out of 5	29,966
Q96P26	NT5C1B AIRP FKSG85	4 out of 5	68,804
O95477	ABCA1 ABC1 CERP	5 out of 5	254,302
P08173	CHRM4	5 out of 5	53,049
Q9Y614	ACTL7B	2 out of 5	45,234
Q86TW2	ADCK1	4 out of 5	60,577
O95081	AGFG2 HRBL RABR	3 out of 5	48,963
P25100	ADRA1D ADRA1A	5 out of 5	60,463
Q8WTP8	AEN ISG20L1 SBBI58	5 out of 5	36,350
Q9H9L7	AKIRIN1 C1orf108	4 out of 5	21,867
Q8IVF2	AHNAK2 C14orf78 KIAA2019	5 out of 5	616,629
P35368	ADRA1B	5 out of 5	56,836
Q96JD6	AKR1E2 AKR1CL2 AKRDC1	5 out of 5	36,589
Q9UKJ8	ADAM21	5 out of 5	80,834
P45381	ASPA ACY2 ASP	5 out of 5	35,735
O95831	AIFM1 AIF PDCD8	5 out of 5	66,901
P50052	AGTR2	5 out of 5	41,184
Q9P2G1	ANKIB1 KIAA1386	5 out of 5	122,002
Q9UKF5	ADAM29	5 out of 5	92,759
Q5VUY0	AADACL3	3 out of 5	46,155
O95994	AGR2 AG2 UNQ515/PRO1030	5 out of 5	19,979
P42568	MLLT3 AF9 YEATS3	5 out of 5	63,351
Q5VW22	AGAP6 CTGLF3	3 out of 5	73,127
P15121	AKR1B1 ALDR1	5 out of 5	35,853
Q8N556	AFAP1 AFAP	5 out of 5	80,725
O43823	AKAP8 AKAP95	5 out of 5	76,108
Q03154	ACY1	5 out of 5	45,885
Q7Z4H4	ADM2 AM2	5 out of 5	15,865
Q7Z591	AKNA KIAA1968	5 out of 5	155,139
Q6P461	ACSM6 C10orf129	4 out of 5	53,585
Q6P093	AADACL2	3 out of 5	46,099
Q9Y653	ADGRG1 GPR56 TM7LN4 TM7XN1 UNQ540/PRO1083	5 out of 5	77,738
Q9H0P7	AGPAT4-IT1 C6orf59 NCRNA00241	2 out of 5	20,949
P08172	CHRM2	5 out of 5	51,715
Q04771	ACVR1 ACVRLK2	5 out of 5	57,153
Q7Z6V5	ADAT2 DEADC1	4 out of 5	21,046
Q86Y34	ADGRG3 GPR97 PGR26	5 out of 5	60,861
Q5VUJ5	AGAP7P AGAP7 CTGLF4	3 out of 5	73,211
P13798	APEH D3F15S2 D3S48E DNF15S2	5 out of 5	81,225
Q9BYV1	AGXT2 AGT2	5 out of 5	57,156
O14561	NDUFAB1	5 out of 5	17,417
P00813	ADA ADA1	5 out of 5	40,764
Q08117	AES GRG GRG5	5 out of 5	21,970
O43306	ADCY6 KIAA0422	5 out of 5	130,615
Q08AH3	ACSM2A ACSM2 MACS2	5 out of 5	64,223
Q9H8T0	AKTIP FTS	5 out of 5	33,128
Q6NUN0	ACSM5 MACS3	5 out of 5	64,760
Q9BRQ8	AIFM2 AMID PRG3	5 out of 5	40,527
Q96M93	ADAD1 TENR	3 out of 5	64,411
Q9P0K1	ADAM22 MDC2	5 out of 5	100,433
P13945	ADRB3 ADRB3R B3AR	5 out of 5	43,519
Q5TGY3	AHDC1	3 out of 5	168,349
Q9H0C2	SLC25A31 AAC4 ANT4 SFEC	5 out of 5	35,022
Q9NUB1	ACSS1 ACAS2L KIAA1846	5 out of 5	74,857
O00170	AIP XAP2	5 out of 5	37,636
Q09666	AHNAK PM227	5 out of 5	629,101
P43652	AFM ALB2 ALBA	5 out of 5	69,069
P51857	AKR1D1 SRD5B1	5 out of 5	37,377
Q9H568	ACTL8	3 out of 5	41,360
O60241	ADGRB2 BAI2	5 out of 5	172,656
P52594	AGFG1 HRB RAB RIP	5 out of 5	58,260
Q9NZN9	AIPL1 AIPL2	5 out of 5	43,903
Q8NCV1	ADAD2 TENRL	3 out of 5	61,755
Q3LIE5	ADPRM C17orf48 MDS006 Nbla03831	5 out of 5	39,529
Q9NPJ3	ACOT13 THEM2 HT012 PNAS-27	5 out of 5	14,960
P07550	ADRB2 ADRB2R B2AR	5 out of 5	46,459
Q96IF1	AJUBA JUB	5 out of 5	56,934
Q9NWT8	AURKAIP1 AIP AKIP MRPS38	5 out of 5	22,354
Q53H64	ANKRD40CL C17orf73 LINC00483	1 out of 5	13,397
O95490	ADGRL2 KIAA0786 LEC1 LPHH1 LPHN2	5 out of 5	163,349
Q14246	ADGRE1 EMR1 TM7LN3	5 out of 5	97,683
Q9H2A2	ALDH8A1 ALDH12	5 out of 5	53,401
P49189	ALDH9A1 ALDH4 ALDH7 ALDH9	5 out of 5	53,802
P05091	ALDH2 ALDM	5 out of 5	56,381
Q9ULX6	AKAP8L NAKAP NAKAP95 HRIHFB2018	5 out of 5	71,640
Q96F25	ALG14	4 out of 5	24,151
O75969	AKAP3 AKAP110 SOB1	5 out of 5	94,751
Q5JQC9	AKAP4 AKAP82	5 out of 5	94,477
P24588	AKAP5 AKAP79	5 out of 5	47,088
Q16671	AMHR2 AMHR MISR2	5 out of 5	62,750
A9YTQ3	AHRR BHLHE77 KIAA1234	5 out of 5	76,265
Q12904	AIMP1 EMAP2 SCYE1	5 out of 5	34,353
Q8IZP9	ADGRG2 GPR64 HE6 TM7LN2	5 out of 5	111,593
Q6UXC1	MAMDC4 AEGP UNQ3001/PRO9742	3 out of 5	131,499
Q9NQ31	AKIP1 BCA3 C11orf17	4 out of 5	23,114
P22570	FDXR ADXR	5 out of 5	53,837
Q8TF27	AGAP11 KIAA1975	3 out of 5	60,549
O60503	ADCY9 KIAA0520	5 out of 5	150,701
Q9UHX3	ADGRE2 EMR2	5 out of 5	90,472
Q99490	AGAP2 CENTG1 KIAA0167	5 out of 5	124,674
P35869	AHR BHLHE76	5 out of 5	96,147
Q53H80	AKIRIN2 C6orf166	4 out of 5	22,496
